Run	SRA_Study
SRR1237095	SRP038212
SRR1237197	SRP038212
SRR1237200	SRP038212
SRR1237292	SRP038212
SRR1237755	SRP038212
SRR1237762	SRP038212
SRR1273803	SRP038212
SRR1172361	SRP038216
SRR1172373	SRP038216
SRR1172379	SRP038216
SRR1172401	SRP038216
SRR1172414	SRP038216
SRR1172425	SRP038216
SRR1172657	SRP038216
SRR1172676	SRP038216
SRR1184259	SRP038216
SRR1184403	SRP038216
SRR1186043	SRP038216
SRR1186224	SRP038216
SRR1237038	SRP038216
SRR1237073	SRP038216
SRR1237108	SRP038216
SRR1237109	SRP038216
SRR1237112	SRP038216
SRR1237117	SRP038216
SRR1237191	SRP038216
SRR1237214	SRP038216
SRR1237283	SRP038216
SRR1237727	SRP038216
SRR1237735	SRP038216
SRR1273793	SRP038216
SRR1199595	SRP040313
SRR1199596	SRP040313
SRR1204807	SRP040552
SRR1204809	SRP040552
SRR1204808	SRP040552
SRR1204810	SRP040552
SRR1204811	SRP040552
SRR1204812	SRP040552
SRR1204813	SRP040552
SRR1204814	SRP040552
SRR1204815	SRP040552
SRR1204816	SRP040552
SRR1204817	SRP040552
SRR1204818	SRP040552
SRR1535854	SRP045222
SRR1535855	SRP045222
SRR1654847	SRP028297
SRR1654848	SRP028297
SRR1654849	SRP028297
SRR1654852	SRP028297
SRR1654850	SRP028297
SRR1654851	SRP028297
SRR1654853	SRP028297
SRR1654854	SRP028297
SRR1654855	SRP028297
SRR1654856	SRP028297
SRR1654857	SRP028297
SRR1654858	SRP028297
SRR1654859	SRP028297
SRR1654860	SRP028297
SRR1654861	SRP028297
SRR1654862	SRP028297
SRR1654863	SRP028297
SRR1654864	SRP028297
SRR1654865	SRP028297
SRR1654866	SRP028297
SRR1654867	SRP028297
SRR1654868	SRP028297
SRR1654869	SRP028297
SRR1654871	SRP028297
SRR1654872	SRP028297
SRR1654873	SRP028297
SRR1654870	SRP028297
SRR1654874	SRP028297
SRR1654875	SRP028297
SRR1654877	SRP028297
SRR1654876	SRP028297
SRR1654879	SRP028297
SRR1654878	SRP028297
SRR1654880	SRP028297
SRR1654881	SRP028297
SRR1654882	SRP028297
SRR1654883	SRP028297
SRR1654884	SRP028297
SRR1654885	SRP028297
SRR1654886	SRP028297
SRR1654887	SRP028297
SRR1654888	SRP028297
SRR1654889	SRP028297
SRR1654890	SRP028297
SRR1654891	SRP028297
SRR1654893	SRP028297
SRR1654894	SRP028297
SRR1654892	SRP028297
SRR1654896	SRP028297
SRR1654895	SRP028297
SRR1740386	SRP051693
SRR1740387	SRP051693
SRR1740388	SRP051693
SRR1920416	SRP056363
SRR1920415	SRP056363
SRR2005834	SRP057884
SRR2005833	SRP057884
SRR2005832	SRP057884
SRR2005828	SRP057884
SRR2005827	SRP057884
SRR2005826	SRP057884
SRR2017788	SRP058281
SRR2017808	SRP058281
SRR2027852	SRP058281
SRR2027853	SRP058281
SRR2017833	SRP058281
SRR2017845	SRP058281
SRR2017834	SRP058281
SRR2017835	SRP058281
SRR2027854	SRP058281
SRR2027855	SRP058281
SRR2027856	SRP058281
SRR2027857	SRP058281
SRR2017836	SRP058281
SRR2017837	SRP058281
SRR2027858	SRP058281
SRR2017841	SRP058281
SRR2027859	SRP058281
SRR2027860	SRP058281
SRR2027861	SRP058281
SRR2017838	SRP058281
SRR2017839	SRP058281
SRR2017840	SRP058281
SRR2062588	SRP051693
SRR2062587	SRP051693
SRR2062586	SRP051693
SRR2080403	SRP059988
SRR2080394	SRP059988
SRR2087422	SRP060356
SRR2087421	SRP060356
ERR574601	ERP006610
ERR574609	ERP006610
ERR574610	ERP006610
ERR574582	ERP006610
ERR574605	ERP006610
ERR574591	ERP006610
ERR574590	ERP006610
ERR574600	ERP006610
ERR574579	ERP006610
ERR574596	ERP006610
ERR574580	ERP006610
ERR574626	ERP006610
ERR574619	ERP006610
ERR574594	ERP006610
ERR574595	ERP006610
ERR574606	ERP006610
ERR574593	ERP006610
ERR574620	ERP006610
ERR574633	ERP006610
ERR574602	ERP006610
ERR574576	ERP006610
ERR574592	ERP006610
ERR574599	ERP006610
ERR574621	ERP006610
ERR574625	ERP006610
ERR574589	ERP006610
ERR574627	ERP006610
ERR574584	ERP006610
ERR574623	ERP006610
ERR574585	ERP006610
ERR574616	ERP006610
ERR574613	ERP006610
ERR574617	ERP006610
ERR574581	ERP006610
ERR574575	ERP006610
ERR574586	ERP006610
ERR574630	ERP006610
ERR574587	ERP006610
ERR574622	ERP006610
ERR574603	ERP006610
ERR574597	ERP006610
ERR574578	ERP006610
ERR574612	ERP006610
ERR574608	ERP006610
ERR574632	ERP006610
ERR574631	ERP006610
ERR574583	ERP006610
ERR574598	ERP006610
ERR574574	ERP006610
ERR574588	ERP006610
ERR574629	ERP006610
ERR574604	ERP006610
ERR574611	ERP006610
ERR574577	ERP006610
ERR574615	ERP006610
ERR574624	ERP006610
