45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
CTRG_05851|291 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 1
CTRG_05852|1509 0 13 36 28 1 1 2 0 2 0 1 0 2 5 3 5 20 11
CTRG_05853|645 7 11 27 18 2 1 3 5 4 6 6 3 8 7 6 8 11 4
CTRG_05854|1302 10 20 45 30 8 11 9 8 6 7 16 7 14 43 17 16 16 9
MSTRG.116.1|803|x|CTRG_05854-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 6 17 41 19 9 2 8 18 32 14 17 1 14 13 16 32 30 28
CTRG_05855|1194 21 17 71 382 53 40 50 49 78 57 70 19 33 52 45 52 121 87
CTRG_05856|1302 4279 2230 5767 2581 1692 1385 2027 5776 8312 7187 8608 2593 3310 4751 3481 4716 6250 5120
CTRG_05857|819 785 1864 4896 1397 421 554 744 393 832 583 740 230 572 779 654 834 1469 1095
MSTRG.120.1|826|x|CTRG_05857-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 8 10 24 6 6 5 8 25 26 21 17 7 3 10 12 12 17 27
CTRG_05858|576 25 8 32 24 1950 1247 990 249 370 254 337 93 47 75 118 114 580 456
MSTRG.122.1|662|x|CTRG_05859-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 96 128 305 297 48 79 117 144 236 171 258 61 163 297 219 269 457 306
CTRG_05859|1923 261 366 921 475 701 243 475 1512 1723 1737 2116 620 272 358 359 446 595 562
CTRG_05860|2166 188 223 603 191 460 158 324 1241 1410 1360 1722 527 179 269 270 331 523 452
MSTRG.126.1|384|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 4 2 1 1 1 0 3 3 1 1 4 3 1 3 5 3
CTRG_05861|1482 1459 1468 3877 1620 773 660 870 1255 1744 1460 1780 501 671 1022 844 1106 1712 1412
CTRG_05862|1185 14 206 616 1147 69 132 73 95 225 143 167 42 149 191 165 193 312 200
MSTRG.130.1|1084|x|CTRG_05863-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 8 31 87 43 11 17 20 30 49 46 52 17 23 57 40 47 67 64
CTRG_05863|3780 844 1144 2999 1152 1137 625 860 1256 1339 1277 1498 444 347 463 396 515 942 799
CTRG_05864|925 23141 35210 89731 20937 11268 11214 15917 15659 20370 18001 21926 6628 6913 10221 7799 9936 16574 13046
MSTRG.134.1|755|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 13 3 10 28 2 4 5 39 52 29 32 14 30 54 25 35 65 51
CTRG_05865|2283 916 1163 2926 1695 592 436 675 1210 1625 1501 1754 500 638 985 872 1255 1734 1418
CTRG_05866|1521 2566 475 1182 4693 9422 8692 9522 34836 34243 35010 44013 12929 11468 16888 14187 18737 14154 12150
CTRG_05867|828 25 50 174 38 31 21 27 32 28 31 33 17 5 14 7 11 24 20
CTRG_05868|1272 0 0 0 12 0 1 2 11 9 9 16 4 3 6 3 4 10 13
CTRG_05869|960 564 1029 2798 1086 599 608 665 868 1247 1002 1345 377 497 811 654 817 1033 778
CTRG_05870|2307 423 334 927 790 1233 775 1237 3626 4309 3985 5031 1430 1564 2253 2096 2888 1890 1742
CTRG_05871|1836 123 51 119 184 390 346 493 151 180 168 210 46 41 59 101 54 109 107
MSTRG.141.1|311|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 5 7 6 2 3 7 25 19 37 31 5 0 1 5 3 4 6
MSTRG.142.1|501|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 0 1 2 2 16 9 7 13 2 4 8 2 5 7 1
CTRG_05872|1725 2289 4196 11120 784 3506 1307 3941 20124 21754 22060 27494 7946 2503 3853 3260 4801 3769 3349
MSTRG.144.1|504|x|CTRG_05872-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 18 161 395 26 11 37 24 39 18 9 13 9 21 33 25 36 27 21
MSTRG.145.1|773|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 2 0 0 0 2 1 3 5 2 8 11 7 7 12 6
MSTRG.147.1|280|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
MSTRG.148.1|533|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 5 3 4 7 5 3 7 23 55 42 62 15 7 8 12 2 27 19
CTRG_05873|444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
MSTRG.149.1|417|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
MSTRG.150.1|440|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
MSTRG.151.1|319|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 33 143 389 52 17 60 71 98 171 120 153 31 95 135 143 157 188 175
MSTRG.152.1|261|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 2 68 192 5 12 54 39 33 79 36 29 6 52 70 70 50 37 44
CTRG_05874|1614 0 5 6 3 0 0 0 2 0 0 0 0 2 0 0 4 1 3
CTRG_05875|624 430 211 577 347 99 124 141 194 350 318 359 101 158 259 219 179 410 242
CTRG_05876|2265 1457 1396 3795 814 1358 701 1346 3382 4159 3692 4582 1337 914 1322 1104 1441 2109 1952
CTRG_05877|1230 91 30 81 142 167 154 107 106 130 134 149 46 41 74 62 48 129 121
CTRG_05878|2688 163 14 40 353 1450 921 1120 5321 5248 5295 6599 1840 806 1008 1092 1259 1342 1257
CTRG_05879|1674 143 278 744 1254 4392 3033 3834 3037 4091 3966 4829 1430 1335 1860 1692 2120 4238 3771
MSTRG.160.1|852|x|CTRG_05880-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 4 46 98 9 10 17 17 55 57 18 36 11 51 70 62 22 49 50
